X,Y,band1,band2,band3,band4,band5,band6,band7
1,1114,56,36,25,13,11,116,8
1,1115,56,35,24,14,11,117,9
1,1116,59,37,25,12,10,117,11
1,1117,58,38,23,14,11,117,10
1,1118,58,36,22,14,11,117,10
1,1119,59,39,23,13,11,117,10
1,1120,58,36,25,16,8,117,10
1,1121,57,36,22,14,10,117,11
1,1122,59,38,22,13,11,117,9
1,1123,58,39,25,14,10,116,8
1,1124,57,39,23,13,10,116,10
1,1125,58,35,23,13,11,116,8
1,1126,57,37,25,14,10,116,10
1,1127,59,38,22,13,9,116,11
1,1128,58,37,23,14,10,116,10
1,1129,60,37,23,13,10,117,10
1,1130,56,37,22,13,9,117,10
1,1131,59,36,22,15,9,116,11
1,1132,58,36,22,13,10,116,11
1,1133,59,36,24,13,10,118,10
1,1134,57,36,23,14,11,118,8
1,1135,58,36,23,13,10,116,11
1,1136,60,37,25,14,12,116,9
1,1137,57,36,21,14,10,116,11
1,1138,58,36,25,14,10,116,11
1,1139,56,36,24,13,11,118,10
1,1140,56,36,24,13,11,118,10
1,1141,60,38,24,14,10,118,9
1,1142,56,36,24,13,10,118,9
1,1143,60,37,23,14,9,116,8
1,1144,58,38,22,14,9,116,9
1,1145,58,35,24,13,10,116,13
1,1146,59,36,23,14,10,116,11
1,1147,57,38,25,14,10,116,8
1,1148,59,38,25,13,10,116,11
1,1149,59,37,21,13,10,117,7
1,1150,58,37,23,14,10,117,11
1,1151,57,37,24,14,9,116,10
1,1152,56,37,22,14,10,116,8
1,1153,57,35,23,13,11,117,11
1,1154,56,36,22,13,10,117,9
1,1155,59,35,22,13,10,118,12
1,1156,55,37,22,14,11,118,11
1,1157,59,34,22,13,9,117,7
1,1158,57,36,23,13,11,117,12
1,1159,58,37,22,14,10,116,9
1,1160,59,37,25,14,11,116,10
1,1161,57,36,23,14,10,117,9
1,1162,56,36,23,13,10,117,10
1,1163,58,35,25,14,10,117,11
1,1164,57,35,21,14,11,117,10
1,1165,56,38,25,15,11,116,9
1,1166,57,36,23,15,11,116,10
1,1167,57,37,24,14,9,117,10
1,1168,58,36,24,14,9,117,9
1,1169,57,39,23,14,11,118,9
1,1170,60,36,22,14,11,118,10
1,1171,58,36,22,15,10,116,8
1,1172,0,0,0,0,0,116,0
1,1173,0,0,0,0,0,0,0
1,1174,0,0,0,0,0,0,0
1,1175,0,0,0,0,0,0,0
1,1176,0,0,0,0,0,0,0
1,1177,0,0,0,0,0,0,0
